Doctor,Address,State,City,Pincode
Dr. Chaya Tiwari ,"Near, Plot No. 38, Itehara Village, 6 Percent Farmer Plot, Cherry County St, Amrapali Dream Valley, Noida, Uttar Pradesh 201305",NCR,Delhi,201305
Dr. payal chakraborty,"Dr..payal chakraborty,bless healthcare, dilshad garden",NCR,Delhi,Pincode not found
Navamita Bora,"Guwahati,",Assam,Guwahati,Pincode not found
R L Sarma,"Jyotinagar,Jyotinagar,Jyotinagar",Assam,Guwahati,Pincode not found
D J Gharpulia,"GMCH,Guwahati",Assam,Guwahati,781005
B P Choudhury,"AryaHospital,Guwahati",Assam,Guwahati,781008
Nerupa jodhani,"NamecareHospital,Namecarehospital,Namecarehospital",Assam,Guwahati,781006
Sudha agarwal,"Atagaon,Atagaon,Atagaon",Assam,Guwahati,781001
Ashok beria,"Atagaon,Atagaon,Atagaon",Assam,Guwahati,781006
Dw islam,"Atagaon,Atagon,Atagon",Assam,Guwahati,Pincode not found
Smita das,"Ihr,Ihr,Ihr",Assam,Guwahati,Pincode not found
Kanchan m,"Ihr,ihr,ihr",Assam,Guwahati,781009
Sanskriti rajkumar,"AkangshaHospital,Akangsa,Akangsa",Assam,Guwahati,781011
Asha agarwal,"Ihr,ihr,ihr",Assam,Guwahati,781001
Ashish dhirasaria,"MaligaonHospital,Maligaon,Maligaon",Assam,Guwahati,781003
Jp More,"Guwahati,-,-",Assam,Guwahati,Pincode not found
Dyna Terong,"ChristianHospital,ChirstianHospital,ChirstianHospital",Assam,Guwahati,781008
Dhiraj Ch Das,"GopinathNagarKalapahar,GOPINATHNAGARKALAPAHAR",Assam,Guwahati,781014
MINAKSHI SARMA,"KalicharanHospital,kalicharanHospital,kalicharanHospital",Assam,Guwahati,Pincode not found
Dilip kumar sarma,"NamecareHospital,NamecareHospital,NamecareHospital",Assam,Guwahati,781005
Panchanan das,"NamecareHospital,Namecare,Namecare",Assam,Guwahati,781005
Dr. Gauari Agrawal ,"Yashoda Hospital IIIrd M, Nehru Nagar, Ghaziabad, Uttar Pradesh",NCR,Ghaziabad,201001
Dr. Sashi Arora ,"Yashoda Hospital IIIrd M, Nehru Nagar, Ghaziabad, Uttar Pradesh",NCR,Ghaziabad,201002
Dr. Archana Sharma ,"Ganesh Nursing Home II-C Nehru Nagar,III Ghaziyabad ",NCR,Ghaziabad,201001
Dr. Alpna Kancal ,"Kancal ClinicA-10, Ashok Nagar Ghaziyabad",NCR,Ghaziabad,201001
Dr. Gunjan Gupta ,"Gunjan IVF WorldKhand-4, Indrapuram,Ghaziyabad",NCR,Ghaziabad,Pincode not found
Dr. Meenakshi Jindal ,"Dr.Meenakshi Jindal ClinicBlock SJ,Shastri Nagar Ghaziyabad Utter Pradesh ",NCR,Ghaziabad,201002
Dr. Uma Sharma ,Kailash Hospital Sector 27 Noida UP ,NCR,NOIDA,201301
Dr. Anjana Singh,"Women and Wombs Care CliniqueVPO 20, Ground Floor, Shipra Krishna Vista Plaza, Dr Sushila Naiyar Marg, Ahinsa Khand 1, Indirapuram, Ghaziabad, Uttar Pradesh , Landmark: Near Indirapuram Habitat Centre & Opposite Indirapuram Post Office, Ghaziabad",NCR,Ghaziabad,Pincode not found
Dr. Neha Gupta ,Dr.Neha ClinicCabin No.222 B-22 Noida ,NCR,NOIDA,Pincode not found
Dr. Latika Singh Sinsinwar,"Apollo Cardil Apr 26, 2023 · Dr. Latika Singh Sinsinwar practices at Apollo Cradle Hospital, Delhi-NCR-Greater Noida.",NCR,NOIDA,Pincode not found
Dr. Priya Banshal ,Raghavendra HospitalPlot Number 243 Shakti Khand- III Ghaziabad,NCR,Ghaziabad,Pincode not found
Dr. Seema Gupta ,"Fortis Hospital Sector-62,B-22,Gautam Buddh Nagar Pin-201309",NCR,NOIDA,Pincode not found
Dr. Punita Gupta ,"Dr.Punita Gupta ClinicShopping Complex, Sarojini Naidu Marg, Ahinsa Khand 1, Indirapuram,",NCR,Ghaziabad,201014
Dr. Surabhi Agrawal ,"Ayush Clinic143, Sector 2C, Landmark: opposite to SG impression society, Vashundhra Ghaziabad",NCR,Ghaziabad,Pincode not found
Dr. Bimla Razdan,"Narendra Mohan Hospital Loni Indristal Area ,Mohan Nagar Shahibabad,Ghaziyabad-201008",NCR,Ghaziabad,Pincode not found
Dr. Meenakshi Wazir,"Narendra Mohan Hospital Loni Indristal Area ,Mohan Nagar Shahibabad,Ghaziyabad-201009",NCR,Ghaziabad,201007
Dr. Kusum Gupta ,"Dr Kusum Gupta ClinicDr. Zakir Hussen Marg, Sector 2, Rajendra Nagar, Noida, ",NCR,NOIDA,Pincode not found
Dr. Poonam Gupta ,"Narendra Mohan Hospital Loni Indristal Area ,Mohan Nagar Shahibabad,Ghaziyabad-201011",NCR,Ghaziabad,Pincode not found
Dr. Kshma Govil ,"Narendra Mohan Hospital Loni Indristal Area ,Mohan Nagar Shahibabad,Ghaziyabad-201012",NCR,Ghaziabad,201007
Dr. Manisha Gupta ,"Dr.Manisha Gupta ClinicR-14/22, Raj Nagar Ghaziyabad UP",NCR,Ghaziabad,Pincode not found
Dr. Nayya Saini,"Santosh Hospital 1-Ambedkar RD,Opp- Old Bus Stand, Maliwara ,Nehru Nagar Ghaziyabad 201002",NCR,Ghaziabad,201001
Dr. Ankita Bais,"Santosh Hospital 1-Ambedkar RD,Opp- Old Bus Stand, Maliwara ,Nehru Nagar Ghaziyabad 201003",NCR,Ghaziabad,201001
Dr. Gunjan Gulati ,"Mediwin Hospital 12/73, Block 12, Raj Nagarn Extensation Ghaziyabad ",NCR,Ghaziabad,201002
Dr. Alpna Agrawal,"Dr.Alpna ClinicShop Number- 19, G T Road, Ghaziabad - 201001, Hari Nivas Market (Map).",NCR,Ghaziabad,Pincode not found
Dr. Mansi Choudhary ,"Santosh Hospital 1-Ambedkar RD,Opp- Old Bus Stand, Maliwara ,Nehru Nagar Ghaziyabad 201007",NCR,Ghaziabad,201001
Dr. Vanipuri ,"Women Wellness ClinicS-2 Ground Floor,Quantum Residency Raj Nagar Extn. Ghaziyabad pin-201017",NCR,Ghaziabad,Pincode not found
Dr. Shadhna Gupta ,"Vrinda Clinic12 Central Market, West Punjabi Bagh, New Delhi - 110026, Delhi",NCR,Delhi,Pincode not found
Dr. Anita Bansal,"CK Birla Hospital57/41, Punjabi Bagh (West), Landmark: Opp Punjabi Bagh Club, Delhi",NCR,Delhi,Pincode not found
Dr. Anjula Sehara,"Param Tej Sehra Medical Centre29, N W A Club Road, Landmark: Near SBI Bank, Punjabi Baag  Delhi",NCR,Delhi,Pincode not found
Dr. Seema Bharaduwaj,"Maharaja Agrasen HospitalDwaraka Flyover, Pocket 4, Sector 1 Dwarka.",NCR,Delhi,110075
Dr. Poonam Agrawal,"Agarwal Obs and Gynae ClinicA-2, Shop Number 5, DDA Market, Landmark: Near CA Apartments, Paschim Vihar Delhi",NCR,Delhi,Pincode not found
Dr. Meenakshi Bansal,"Surgery & Gynaecare ClinicB-3/18, Paschim Vihar, New Delhi, Delhi",NCR,Delhi,110063
Dr. Renu Gupta ,"Dr. A V S Gupta ClinicPD-16-A, Pitampura. Delhi 110034. Landmark: Near ND Market, Delhi",NCR,Delhi,110088
Dr. Rubi Sehra ,"Progeny IVF - ICSI Centre29, North West Avenue, Club Road, West Punjabi Bagh., Landmark: Opposite SBI Bank, Delhi",NCR,Delhi,Pincode not found
Dr. Seema  Seghal,"CK Birla Hospital57/41, Punjabi Bagh (West), Landmark: Opp Punjabi Bagh Club, Delhi",NCR,Delhi,110026
Dr. Ruchi Malhotra ,"Sehgal Nursing HomeA6, Second Floor, Panchwati, Opp. Azadpur Sabzi Mandi,, Landmark: Metro Pillar No-84, Adarsh Nagar, Delhi",NCR,Delhi,Pincode not found
Dr. Tanudeep Kor,"Healthy Human Clinics19, 1st Floor, Sandesh Vihar, Landmark: Near Kohat Enclave Metro station, Delhi",NCR,Delhi,110034
Dr. Swati Malhotra ,"Gyn ClinicC-15, Community Centre, Landmark: Near Gurudwara, Delhi",NCR,Delhi,Pincode not found
Dr. Nivedita Kaul  ,"The Surgery and Gynae Clinic1st Floor, B2 Block, DDA Market, Landmark: Near Jwalaheri Market, Paschim Vihar Delhi",NCR,Delhi,110063
Dr. Divya Singhal,"The ClinicD-11, Pushpanjali Enclave, Landmark: Gate Number 5 Pushpanjali Enclave, Delhi",NCR,Delhi,110034
Dr. Meenakshi ,"CK Birla Hospital57/41, Punjabi Bagh (West), Landmark: Opp Punjabi Bagh Club, Delhi",NCR,Delhi,Pincode not found
Dr. Neera Agrawal,"Max Super Speciality Hospital108 A, Indraprasth Extension, Landmark: Opposite Sanchar Apartments, Delhi",NCR,Delhi,Pincode not found
Dr. Madhu Gupta,"Dr. Madhu Gupta's Maternity & GynaeBG-2/3A & 6A, Baba Ramdev Marg, Landmark: Burger King, Paschim Vihar Delhi",NCR,Delhi,Pincode not found
Dr. Gini Gulati,"Cloudnine Hospital - Punjabi Bagh80/1, Northwest Avenue Road,next to Club Road, Apts, Punjabi Bagh, New Delhi, Delhi, Landmark: near Pal Mohan apartments, Delhi",NCR,Delhi,110026
Dr. Shadhna Singal,"Cloudnine Hospital - Punjabi Bagh80/1, Northwest Avenue Road,next to Club Road, Apts, Punjabi Bagh, New Delhi, Delhi, Landmark: near Pal Mohan apartments, Delhi",NCR,Delhi,Pincode not found
Dr. Seema Sharma ,"Panchsheel HospitalC-3/63-A, 64-A opp. Gokulpuri police station Wazirabad Road, Landmark: Yamuna Vihar (C-Block) Bus Stand, Delhi",NCR,Delhi,Pincode not found
Dr. Shelly Arora ,"Cloudnine HospitalKhasra Number 26/2/2, Keshopur, Outer Ring Road, Delhi",NCR,Delhi,110027
Dr. Noor Dharmarha ,"Dr. Noor Dharmarha ClinicPunjabi Bagh, House Number 18 Road number 70 Delhi",NCR,Delhi,110026
Dr. Roma Bansal,"Navjeevan HospitalA-12, Outer Ring Road, Pushpanjali Enclave, Landmark: Opposite Jaipur Golden Red Light., Delhi",NCR,Delhi,Pincode not found
Dr. Richa Gupta,"Park HospitalNumber 12, Meera Enclave, Bus Depot,Outer Ring Road,Vishnu Garden,New Delhi, Landmark: Near Keshopur, Sabji Mandi, Delhi",NCR,Delhi,Pincode not found
Dr. Akta Bajaj,"Aksh Clinic175, Avtar Enclave, Landmark: opposite dominos pizza, Paschim Vihar Delhi",NCR,Delhi,Pincode not found
Dr. Pankila Mittal,"Gynae Bliss ClinicB 17, New Multan Nagar, Rohtak Road (5 min From Paschim Vihar West Metro Station), Landmark: Opposite Pillar Number 227, Delhi",NCR,Delhi,110056
Dr. Manjusha Goel,"57/41, Punjabi Bagh (West), Landmark: Opp Punjabi Bagh Club, Delhi57/41, Punjabi Bagh (West), Landmark: Opp Punjabi Bagh Club, Delhi",NCR,Delhi,Pincode not found
Dr. Yukti Wadhawan,"Yukti IVF & GynaecologyJ-1/164, C-1, Block, Landmark: Opposite Metro Pillar Number 404, Rajori Garden Delhi",NCR,Delhi,110027
Dr. Tripti Raheja,"Raheja ClinicSingle Storey, C-25-A, Block C, Vijay Nagar, New Delhi, Delhi, 110009",NCR,Delhi,Pincode not found
Dr. Sonia Malik,"Nova IVF FertilityGN-14, Shivaji Enclave, Sector-G, Mehta Chowk, Delhi",NCR,Delhi,Pincode not found
Dr. Rashmi Agarwal,"Dr,Rashmi ClinicPunjabi Bagh, Delhi",NCR,Delhi,110056
Dr. Aanchal Agarwal,"0/1, Northwest Avenue Road,next to Club Road, Apts, Punjabi Bagh, New Delhi, Delhi, Landmark: near Pal Mohan apartments, Delhi",NCR,Delhi,110026
Dr. Aswati Nair,"Nova IVF FertilityGN-14, Shivaji Enclave, Sector-G, Mehta Chowk, Delhi",NCR,Delhi,110027
Dr. Hirday Kapoor,"Cloudnine Hospital - Punjabi Bagh80/1, Northwest Avenue Road,next to Club Road, Apts, Punjabi Bagh, New Delhi, Delhi, Landmark: near Pal Mohan apartments, Delhi",NCR,Delhi,Pincode not found
Dr. Nidhi Bansal Gupta,"Cloudnine Hospital - Punjabi Bagh80/1, Northwest Avenue Road,next to Club Road, Apts, Punjabi Bagh, New Delhi, Delhi, Landmark: near Pal Mohan apartments, Delhi",NCR,Delhi,110026
Dr. Aastha Aggarwal,"Cloudnine Hospital - Punjabi Bagh80/1, Northwest Avenue Road,next to Club Road, Apts, Punjabi Bagh, New Delhi, Delhi, Landmark: near Pal Mohan apartments, Delhi",NCR,Delhi,Pincode not found
Dr. Gitika Sharma,"Cloudnine Hospital - Punjabi Bagh80/1, Northwest Avenue Road,next to Club Road, Apts, Punjabi Bagh, New Delhi, Delhi, Landmark: near Pal Mohan apartments, Delhi",NCR,Delhi,110026
Dr. Nidhi Khera,"Cloudnine Hospital - Punjabi Bagh80/1, Northwest Avenue Road,next to Club Road, Apts, Punjabi Bagh, New Delhi, Delhi, Landmark: near Pal Mohan apartments, Delhi",NCR,Delhi,Pincode not found
Dr. Archana Pathak,"CK Birla Hospital57/41, Punjabi Bagh (West), Landmark: Opp Punjabi Bagh Club, Delhi",NCR,Delhi,110026
Dr. Noor Dharmarha,"Dr. Noor Dharmarha ClinicHouse Number 18, Road Number 70,Punjabi Baag Delhi",NCR,Delhi,110026
Dr. Vandana Bhatia,"Nova IVF FertilityGN-14, Shivaji Enclave, Sector-G, Mehta Chowk, Delhi",NCR,Delhi,Pincode not found
Dr. Samvedna Sindwani,"Maatritva Gynae And Neuro ClinicHouse Number 227-A,DG2 GROUND FLOOR, Landmark: NEAR TYAGI CHOWK, Delhi",NCR,Delhi,110018
Dr. Nitika Grover,"Apollo Cradle & Children’s HospitalPlot Number 15-A, Shivaji Marg, Najafgarh Road., Landmark: Next to Haldiram, Delhi",NCR,Delhi,Pincode not found
Dr. Poonam Behl,"Apollo Cradle & Children’s HospitalPlot Number 15-A, Shivaji Marg, Najafgarh Road., Landmark: Next to Haldiram, Delhi",NCR,Delhi,110015
Dr. Monika Chopra ,"Jaypur Golden Hospital Jaipur Golden Hospital. Address - 2, Institutional Area, Sector -III, Rohini, Delhi-110085",NCR,Delhi,110085
Dr. Jaswinder Kor,"Prime Uro Gynae Clinic64-65 , G 29, Near sector 3 bus stand, Rohini Sector-3, Landmark: Near Mother Divine public school, Delhi",NCR,Delhi,110085
Dr. Vinita Agrawal,"The Heart Centre353, Pocket C-8, Bhagawan Mahavir Marg, Sector 8C, Landmark: Opposite Saroj Hospital, Madhuban Chowk (Left Turn From Pillar Number 380), Delhi",NCR,Delhi,Pincode not found
Dr. Sumedha Harne ,"Jaipur Golden Hospital RohiniBuilding Number-2, Institutional Area, Near Police Line, Rohini Sector 3-110085 (Institutional Area, Near Police Line)",NCR,Delhi,110085
Dr. Ruchi Malhotra,"Sehgal Nursing HomeA6, Second Floor, Panchwati, Opp. Azadpur Sabzi Mandi,, Landmark: Metro Pillar No-84, Adarsh Nagar, Delhi",NCR,Delhi,Pincode not found
Dr. Anubha Jain Singhal,"Ortho & Gynae CentreA-2/38-39, Ground and First Floor , sector -8, , Landmark: Sector - 8 , Delhi",NCR,Delhi,110085
Dr. Karishma Bhatia,"Dr Karishma 's Gynae Care Clinic116, 1st Floor, Crescent Mall , Near Karim's Restaurant,above Mahalaxmi jewelers DC Chowk, Sector 9, Rohini, Landmark: Mahalakshmi Jewellers, Delhi",NCR,Delhi,Pincode not found
Dr. Pawanpreet Kaur,"Denovo Gynae Clinic Spine And Pain Management CenterD-12/135, 2nd floor,, Landmark: Rohini East Metro Station, Delhi",NCR,Delhi,110085
Dr. Nikita Jindal,"Matritav Gynae And Infertility ClinicNumber B8/194, Landmark: Jaipur Golden Hospital Road, Delhi",NCR,Delhi,110085
Dr. Nidhi Bansal Gupta,"Nidhi Maternity & Gynae ClinicC-10 Ground Floor, Sector 14 Rohini, Delhi, Landmark: Near Balaji Mandir, Delhi",NCR,Delhi,110085
Dr. Suneet Kaur Malhotra,"Dr. Suneet Kaur ClinicFlat Number B-19 , Hil Apartments, Plot Number 17, Delhi",NCR,Delhi,110085
Dr. Soni Anand,"Surya ClinicC4/255, Pocket 4, Sector 6, Shiva Road., Landmark: Infront of Ambedkar Hospital Gate Number 3, Delhi",NCR,Delhi,110085
Dr. Shishta Nadda Basu,"Max Super Speciality HospitalC and D Block, Shalimar Place Site, Shalimar Bagh, Landmark: Near Haiderpur Badli Mor Metro Station, Yellow Line, Delhi",NCR,Delhi,110088
Dr. Ankita Chandna,"Max Super Speciality HospitalC and D Block, Shalimar Place Site, Shalimar Bagh, Landmark: Near Haiderpur Badli Mor Metro Station, Yellow Line, Delhi",NCR,Delhi,110088
Dr. Pooja Gupta,"SRG Speciality HospitalE-2/241, Landmark: Opposite Metro Pillar Number 170, Delhi",NCR,Delhi,Pincode not found
Dr. Surekha Jain,"Jain Multispeciality HospitalAE 7 Shalimar Bagh, Landmark: AE Block, Poorbi Shalimar Bag, Delhi",NCR,Delhi,110088
Dr. Deepika Taneja,"Neonest HospitalA-1/3 Prashant Vihar, DELHI, Delhi 110085",NCR,Delhi,110085
DR. SURABHI AGARWAL,"Surabhi Clinichounse no-143, sec-2C, Vashundra, Ghaziabad, Uttar Pradesh 201012",NCR,Ghaziabad,201012
DR. VANDANA GOEL,"Adiva HospitalC-1/C, Green Park Ext Rd, Block B, Green Park Extension, Green Park, New Delhi, Delhi",NCR,Delhi,Pincode not found
DR. ANJANA SABHARWAL,"Prime HospitalSD- 200, Near CBI Academy, Near Pal Sweets, Shastri Nagar, Ghaziabad-201002 (Near CBI Academy, Near Pal Sweets)",NCR,Ghaziabad,201002
DR. ASTHA AGARWAL,"Snehita Women's Health Clinicno CS22, Snehita Women's Health Clinic Shop, KW Srishti Rd, market, Raj Nagar Extension, Ghaziabad, Uttar Pradesh 201017 (also attached to Cloud Nine)",NCR,Ghaziabad,201017
DR. ISHIKA NAIN,"Sapra Multispeciality HospitalSapra Hospital Rd, Sector 15A, Hisar, Haryana 125001",Haryana,Hisar,125001
DR. KAVITA DIXIT,"53 Gurudham Calony, , Near Durga Kund, Gurudham Calony, Lane No-4, Gurudham, 221010 (Near Durga Kund)",Uttar Pradesh,Varanasi,221001
DR. MANISHA GOYAL,"St. Joseph HospitalMeerut Rd, Marium Nagar, Sewa Nagar, Ghaziabad, Uttar Pradesh 201003",NCR,Ghaziabad,201003
DR. NAINI TANDON,"Dr. Naini Tandon's ClinicC - 403, Tikonia Park Road, Landmark: Near Charan Guest Home, Nirala Nagar, Daliganj, Lucknow, Uttar Pradesh - 226020, India",Uttar Pradesh,Lucknow,226020
DR. NEEPU CHAURASIA,"Ayushman MaternitySatya Complex, Opposite Dress Land, Chauraha, Gurudham-221010 (Opposite Dress Land)",Uttar Pradesh,Varanasi,Pincode not found
DR. NEHA VARUN,"C - 34, Basant Lane, Railway Quarters, , Basant Lane Railway Colony-Paharganj-110055",NCR,Delhi,110060
DR. PARIDHI SAXENA,"Sugandha Nursing Home475, Harjinder Nagar, Lal Bangla, kanpur 208007",Uttar Pradesh,Kanpur,Pincode not found
DR. POONAM SACHAN,"Suswasthyam4/700 Kalrav, Vijyant Khand, Gomti Nagar-226010",Uttar Pradesh,Lucknow,Pincode not found
DR. PRAGYA PANDEY,"Manipal HospitalOPD-4, Manipal Hospital, Hapur Rd, near NH-24, near Landcraft Golflink, G.Z.B, Navyug Market, Pandav Nagar, Ghaziabad, Uttar Pradesh 201002",NCR,Ghaziabad,Pincode not found
DR. PRITI KANODIA,"133/50, O Block, Marble Market, Kidwai Nagar, Kanpur, Uttar Pradesh 208011",Uttar Pradesh,Kanpur,208011
DR. PRITIMA CHAUDHARI,"Abbas Bagh, Civil Lines, Kalyani, Unnao, Uttar Pradesh 209801",Uttar Pradesh,Unnao,Pincode not found
DR. PUSHPA SINGH,"H No. 95, Sector - 15a, Gautam Budh Nagar, , Sector 15-201301",NCR,NOIDA,Pincode not found
DR. RANI BALA PANDEY,"D-394 Savitri Memoriyel, Shyam Nagar, Kanpur - 208013",Uttar Pradesh,Kanpur,Pincode not found
DR. RITU SINHA,"Dwarka Hospital5/4, KP Kakkar Rd, near Chandralok Cinema, South Malaka, Prayagraj, Uttar Pradesh 211003",Uttar Pradesh,Allahabad,211003
DR. SANCHITA DUBEY,"Apollo HospitalsE-2, Block E, Sector 26, Noida, Uttar Pradesh 201301",NCR,NOIDA,201301
AAKASH HOSPITAL,"AAKASH HOSPITAL(A UNIT OF DR. GABA ASSOCIATE)90/43, Malviya Nagar, New Delhi",NCR,Delhi,110017
DR. AKANKSHA MISHRA,"Dr. Akanksha Mishra' ClinicG-2, Krishna Kishori Apartment, K Block, Kidwai Nagar, Kanpur, Uttar Pradesh 208011",Uttar Pradesh,Kanpur,208011
DR. AKANKSHA SINGH,"Maitri Multispeciality ClinicR k puram, 40 b, Malhaur Railway Station Road, Awadh Vihar Colony, Ashraf Vihar Colony, Chinhat, Lucknow, Uttar Pradesh 226028",Uttar Pradesh,Lucknow,226028
DR. ALPNA KANSAL,"Raj Maternity & Surgical CentreA-10, Ashok Nagar, (Near Holy Child School), Ghaziabad. Ashok Nagar, Nehru Nagar III, Nehru Nagar, Ghaziabad, Uttar Pradesh, India201001",NCR,Ghaziabad,201001
DR. AMITA SHARMA,"Flt No. M-503, Sps Heights Ahinsa Khand-2 Near DPS, Indirapuram, Ghaziabad-201014",NCR,Ghaziabad,Pincode not found
DR. AMITA TRIPATHI,"Kalawati Women Healthcare and Sports Injury Centre35/10, Lukarganj, Allahabad - 211016, Near Lukerganj Police Chowki, Prayagraj",Uttar Pradesh,Allahabad,211016
DR. AMRITA MADHAV AGRAHARI,"Phoenix Hospital49/163A, near Placid Hotel, Tagore Town, Prayagraj, Uttar Pradesh 211002",Uttar Pradesh,Allahabad,211002
DR. ANJUM GUPTA,"Harris Ganj, Mirpur Cantonment, Mirpur, Kanpur, Uttar Pradesh 208004",Uttar Pradesh,Kanpur,208004
DR. ARCHANA MISHRA,"Genex Path Lab, A-1/2, Tedhi Pulia Ring Rd, near Royal Enfield Show Room, Sector F, Jankipuram, Lucknow, Uttar Pradesh 226021",Uttar Pradesh,Lucknow,Pincode not found
DR. ARCHANA TIWARI,"Advik Infertility ClinicBank Colony, Modi Nagar, Ghaziabad - 201204",NCR,Ghaziabad,201204
DR. ASHA SINGH,"Prayagraj, Uttar Pradesh",Uttar Pradesh,Allahabad,Pincode not found
DR. BABITA GUPTA,"Woman Pulse Hospital & Research Centre112, Old Vijay Nagar, , Near, Shah Ganj-282010 (Near)",Uttar Pradesh,Agra,282003
DR. HARSHU GUPTA,"Get Well HospitalS-19, Nehru Nagar Ghaziabad, Delhi - 201001 (Shalimar Garden Ext-I.near Dayanand Park)",NCR,Ghaziabad,Pincode not found
DR. MEERA SINGHAL,"Meera Singhal Ladies Special HospitalHamilton Rd, George Town, Prayagraj, Uttar Pradesh 211002",Uttar Pradesh,Allahabad,211002
DR. PRERNA SINGHAL,"Healing Tree HospitalPlot No -30/1, Near One Square Mall, Shakti Khand 3-Indirapuram-201014 (Near One Square Mall)",NCR,Ghaziabad,Pincode not found
DR. PULKIT,"Saroj Super Speciality HospitalMadhuban Chowk, Rohini, Sector 14, New Delhi",NCR,Delhi,Pincode not found
DR. SANA IQBAL,"Medison hospitalTedhi Pulia Ring Rd, Near Goel Hero Motors, Near Tedhi pulia, Sector 13, Sector 14, Vikas Nagar, Lucknow, Uttar Pradesh 226022",Uttar Pradesh,Lucknow,226022
DR. SHALINI AGGARWAL,"Cloudnine HospitalsPlot No: 6B, opp. to Park Inn, Fazalpur, I.P.Extension, Mandawali, New Delhi, Delhi 110092",NCR,Delhi,110092
DR. SHALINI TRIVEDI,"116/648, Dwivedi Nagar, Ganesh Nagar, Rawat Pur, Kanpur, Uttar Pradesh 208019",Uttar Pradesh,Kanpur,208019
DR. SHWETA CHUARASIA,"PMC Hospital Pvt LtdB-1/3-12, , Bhelupur, Ravindrapuri Extension, Near ICICI ATM, Ravindrapuri Road, Durgakund-221004 (Near ICICI ATM)",Uttar Pradesh,Varanasi,Pincode not found
DR. SMITA JAIN,"S-9, Second Floor, Aditya City Centre, above Kotak Mahindra Bank, Vaibhav Khand, Indirapuram, Ghaziabad, Uttar Pradesh 201014",NCR,Ghaziabad,201014
DR. SMITA TANDON,"E-301, Inder Mohan Bhardwaj Marg, opposite M Block Market, Block E, Greater Kailash II, Greater Kailash, New Delhi, Delhi 110048",NCR,Delhi,110048
JEEWAN MULTISPECIALITY CENTER,"Sector 15 Part 2, Sector 15, Gurugram, Gurgaon-122001",NCR,Gurgaon,122001
NEW KAVITA DRUGS AND SURGICALS,"Shaleha Market, GMCH Road, Kamrup Metropolitan,, Bhangagarh, Guwahati, Kamrup-781005, Assam",NCR,Gurgaon,Pincode not found
RAINBOW CHILDREN'S MEDICARE LTD,"Rainbow Children's HospitalFC-29, Plot No.5, Geetanjali, Near Malviya Nagar Metro Station Gate No.1 , New Delhi",NCR,Delhi,110017
SAI ASHA PHARMA GROUP-97,"INSIDE PASRICHA HOSPITAL AND MATERNITY HOME SCO-1 and 2 NEAR BHUTESHWAR MANDIR,BASAI ROAD GURUGRAM, 122001, Haryana",NCR,Gurgaon,Pincode not found
Dr. Manisha Sahoo,HOD in IMS & SUM Hospital,Odisha,Bhubaneshwar,Pincode not found
Dr. B.C.Bhunya,"Dr,B.C.Bhunya Clinic, Kapila Prasad ,Bhimatangi Housing Colony, -751002",Odisha,Bhubaneshwar,751002
Dr. Samikshya Nand,"Cura, Infront of Amber Showroom, Lingipur",Odisha,Bhubaneshwar,751002
Dr. Mamta Tripathy,Janani Hospital,Odisha,Bhubaneshwar,Pincode not found
Dr. Katyani Panda,"Dr,Veena Panda Clinic,IRC Village,Nayapalli",Odisha,Bhubaneshwar,Pincode not found
Dr. Padmini Gupta,JeevanDhara Nursing Home,Odisha,Cuttack,753004
Dr. Swati Mallick,Nisamani Nursing Home,Odisha,Cuttack,753001
Dr. Sanghamitra Das,Life Institute of Gastro & Gyno,Odisha,Cuttack,753004
Dr. Nirmala Singh,Ranchi,Jharkhand,Ranchi,Pincode not found
Dr. Sabita Laskar,"EG hospital, Narengi",AS,Guwahati,781022
Dr. Purnananda khound,"Greenwood tea estate,Dibrugarh",AS,Dibrugarh,Pincode not found
Dr. Jyothi Mahesh, not found,KA,KA,Pincode not found
Dr. Dina Aisha khan, not found,NCR,Delhi,271865
Dr. Sushma Sharma , not found,NCR,Delhi,121002
